ticker,entry_date,exit_date,days_held,entry_price,exit_price,return_pct,pnl,exit_reason
AMZN,2024-03-13,2024-04-05,23,176.56,185.39,5.0,5000.0,profit_target
BAC,2024-03-13,2024-03-15,2,34.44,33.75,-2.0,-2000.0,stop_loss
CAT,2024-03-13,2024-03-21,8,331.26,347.82,5.0,5000.0,profit_target
CRM,2024-03-13,2024-03-15,2,299.89,293.89,-2.0,-2000.0,stop_loss
GS,2024-03-13,2024-03-18,5,376.05,368.53,-2.0,-2000.0,stop_loss
HD,2024-03-13,2024-03-18,5,360.68,353.46,-2.0,-2000.0,stop_loss
JPM,2024-03-13,2024-03-14,1,181.59,177.96,-2.0,-2000.0,stop_loss
META,2024-03-13,2024-03-15,2,491.78,481.94,-2.0,-2000.0,stop_loss
MSFT,2024-03-13,2024-04-15,33,407.94,406.51,-0.35,-351.72,below_ma50
NFLX,2024-03-13,2024-04-19,37,60.94,59.73,-2.0,-2000.0,stop_loss
NOW,2024-03-13,2024-03-15,2,155.38,152.27,-2.0,-2000.0,stop_loss
NVDA,2024-03-13,2024-03-14,1,90.84,89.02,-2.0,-2000.0,stop_loss
ORCL,2024-03-13,2024-03-21,8,122.51,128.63,5.0,5000.0,profit_target
V,2024-03-13,2024-03-26,13,280.34,274.74,-2.0,-2000.0,stop_loss
WMT,2024-03-13,2024-04-02,20,59.74,58.55,-2.0,-2000.0,stop_loss
XOM,2024-03-13,2024-03-25,12,101.74,106.83,5.0,5000.0,profit_target
CVX,2024-03-14,2024-04-11,28,141.52,148.6,5.0,5000.0,profit_target
JPM,2024-03-15,2024-03-22,7,180.57,189.6,5.0,5000.0,profit_target
NVDA,2024-03-15,2024-03-18,3,87.79,92.18,5.0,5000.0,profit_target
BAC,2024-03-18,2024-03-27,9,34.37,36.09,5.0,5000.0,profit_target
CRM,2024-03-18,2024-04-04,17,295.79,289.87,-2.0,-2000.0,stop_loss
GOOGL,2024-03-18,2024-04-01,14,146.38,153.7,5.0,5000.0,profit_target
META,2024-03-18,2024-03-19,1,493.18,483.31,-2.0,-2000.0,stop_loss
PEP,2024-03-18,2024-04-10,23,159.36,156.18,-2.0,-2000.0,stop_loss
HD,2024-03-19,2024-04-01,13,361.08,353.86,-2.0,-2000.0,stop_loss
LLY,2024-03-19,2024-03-20,1,760.84,745.62,-2.0,-2000.0,stop_loss
NVDA,2024-03-19,2024-03-22,3,89.35,93.81,5.0,5000.0,profit_target
GS,2024-03-20,2024-03-22,2,380.04,399.04,5.0,5000.0,profit_target
META,2024-03-20,2024-03-26,6,501.65,491.62,-2.0,-2000.0,stop_loss
CAT,2024-03-22,2024-04-03,12,347.35,364.71,5.0,5000.0,profit_target
ORCL,2024-03-22,2024-03-27,5,124.72,122.23,-2.0,-2000.0,stop_loss
AVGO,2024-03-25,2024-03-27,2,132.24,129.6,-2.0,-2000.0,stop_loss
GS,2024-03-25,2024-04-11,17,388.16,380.4,-2.0,-2000.0,stop_loss
JPM,2024-03-25,2024-04-12,18,184.86,181.16,-2.0,-2000.0,stop_loss
NOW,2024-03-25,2024-03-27,2,154.93,151.83,-2.0,-2000.0,stop_loss
NVDA,2024-03-25,2024-03-26,1,94.95,93.05,-2.0,-2000.0,stop_loss
XOM,2024-03-26,2024-04-02,7,105.7,110.99,5.0,5000.0,profit_target
V,2024-03-27,2024-04-01,5,274.33,273.6,-0.27,-265.21,below_ma50
AVGO,2024-03-28,2024-04-04,7,129.68,136.17,5.0,5000.0,profit_target
BAC,2024-03-28,2024-04-02,5,36.19,35.47,-2.0,-2000.0,stop_loss
COST,2024-03-28,2024-04-01,4,723.62,712.37,-1.55,-1554.67,below_ma50
LLY,2024-03-28,2024-04-01,4,765.94,750.62,-2.0,-2000.0,stop_loss
NVDA,2024-03-28,2024-04-02,5,90.31,88.5,-2.0,-2000.0,stop_loss
ORCL,2024-03-28,2024-04-09,12,122.59,120.14,-2.0,-2000.0,stop_loss
META,2024-04-01,2024-04-04,3,487.59,511.97,5.0,5000.0,profit_target
GOOGL,2024-04-02,2024-04-04,2,153.2,150.14,-2.0,-2000.0,stop_loss
LLY,2024-04-02,2024-04-10,8,752.16,737.11,-2.0,-2000.0,stop_loss
BAC,2024-04-03,2024-04-10,7,35.73,35.02,-2.0,-2000.0,stop_loss
XOM,2024-04-03,2024-04-26,23,110.82,108.6,-2.0,-2000.0,stop_loss
CAT,2024-04-04,2024-04-15,11,358.68,351.5,-2.0,-2000.0,stop_loss
AVGO,2024-04-05,2024-04-09,4,131.05,128.43,-2.0,-2000.0,stop_loss
CRM,2024-04-05,2024-04-12,7,297.16,291.22,-2.0,-2000.0,stop_loss
GOOGL,2024-04-05,2024-04-12,7,151.16,158.72,5.0,5000.0,profit_target
META,2024-04-05,2024-04-09,4,523.3,512.84,-2.0,-2000.0,stop_loss
NOW,2024-04-05,2024-04-10,5,156.7,153.57,-2.0,-2000.0,stop_loss
NVDA,2024-04-05,2024-04-09,4,87.96,86.2,-2.0,-2000.0,stop_loss
AMZN,2024-04-08,2024-04-17,9,185.19,181.49,-2.0,-2000.0,stop_loss
AVGO,2024-04-10,2024-04-11,1,129.39,135.85,5.0,5000.0,profit_target
META,2024-04-10,2024-04-12,2,515.85,505.53,-2.0,-2000.0,stop_loss
CVX,2024-04-12,2024-04-16,4,144.48,141.59,-2.0,-2000.0,stop_loss
AAPL,2024-05-03,2024-05-21,18,181.56,190.64,5.0,5000.0,profit_target
AMZN,2024-05-03,2024-05-21,18,186.21,182.49,-2.0,-2000.0,stop_loss
BAC,2024-05-03,2024-05-15,12,35.55,37.33,5.0,5000.0,profit_target
COST,2024-05-03,2024-05-10,7,735.93,772.73,5.0,5000.0,profit_target
CVX,2024-05-03,2024-05-22,19,145.66,144.67,-0.68,-679.49,below_ma50
GOOGL,2024-05-03,2024-05-17,14,165.77,174.06,5.0,5000.0,profit_target
GS,2024-05-03,2024-05-14,11,420.02,441.02,5.0,5000.0,profit_target
JPM,2024-05-03,2024-05-14,11,181.82,190.91,5.0,5000.0,profit_target
NVDA,2024-05-03,2024-05-15,12,88.74,93.18,5.0,5000.0,profit_target
PEP,2024-05-03,2024-05-28,25,163.91,160.64,-2.0,-2000.0,stop_loss
TSLA,2024-05-03,2024-05-07,4,181.19,177.57,-2.0,-2000.0,stop_loss
UNH,2024-05-03,2024-05-15,12,468.73,492.17,5.0,5000.0,profit_target
LLY,2024-05-06,2024-05-10,4,754.83,748.26,-0.87,-871.31,below_ma50
WMT,2024-05-07,2024-05-14,7,59.3,58.76,-0.91,-911.92,below_ma50
AVGO,2024-05-08,2024-05-09,1,129.68,127.75,-1.49,-1486.35,below_ma50
TSLA,2024-05-08,2024-05-09,1,174.72,171.97,-1.57,-1573.95,below_ma50
NFLX,2024-05-09,2024-05-20,11,61.21,64.27,5.0,5000.0,profit_target
V,2024-05-09,2024-05-21,12,273.86,271.81,-0.75,-746.47,below_ma50
AVGO,2024-05-10,2024-05-15,5,130.41,136.93,5.0,5000.0,profit_target
MSFT,2024-05-10,2024-05-30,20,407.59,408.25,0.16,163.47,below_ma50
COST,2024-05-13,2024-05-24,11,766.85,805.19,5.0,5000.0,profit_target
TSLA,2024-05-13,2024-05-21,8,171.89,180.48,5.0,5000.0,profit_target
LLY,2024-05-14,2024-05-21,7,752.17,789.78,5.0,5000.0,profit_target
ORCL,2024-05-14,2024-05-30,16,118.35,115.98,-2.0,-2000.0,stop_loss
CAT,2024-05-15,2024-05-16,1,350.49,343.48,-2.0,-2000.0,stop_loss
GS,2024-05-15,2024-05-29,14,446.77,437.84,-2.0,-2000.0,stop_loss
JPM,2024-05-15,2024-05-20,5,192.89,189.03,-2.0,-2000.0,stop_loss
NOW,2024-05-15,2024-05-24,9,152.11,149.07,-2.0,-2000.0,stop_loss
AVGO,2024-05-16,2024-05-17,1,138.17,135.4,-2.0,-2000.0,stop_loss
BAC,2024-05-16,2024-05-30,14,37.43,36.68,-2.0,-2000.0,stop_loss
NVDA,2024-05-16,2024-05-17,1,94.31,92.42,-2.0,-2000.0,stop_loss
UNH,2024-05-16,2024-05-24,8,496.16,486.24,-2.0,-2000.0,stop_loss
WMT,2024-05-16,2024-06-06,21,62.83,65.98,5.0,5000.0,profit_target
XOM,2024-05-16,2024-05-22,6,110.38,108.17,-2.0,-2000.0,stop_loss
CAT,2024-05-17,2024-05-23,6,346.82,339.89,-2.0,-2000.0,stop_loss
AVGO,2024-05-20,2024-05-22,2,138.35,135.59,-2.0,-2000.0,stop_loss
GOOGL,2024-05-20,2024-05-23,3,175.36,171.86,-2.0,-2000.0,stop_loss
NVDA,2024-05-20,2024-05-23,3,94.73,99.46,5.0,5000.0,profit_target
JPM,2024-05-21,2024-06-06,16,190.42,186.61,-2.0,-2000.0,stop_loss
NFLX,2024-05-21,2024-05-23,2,65.06,63.76,-2.0,-2000.0,stop_loss
AAPL,2024-05-22,2024-05-23,1,189.26,185.48,-2.0,-2000.0,stop_loss
LLY,2024-05-22,2024-06-06,15,791.85,831.44,5.0,5000.0,profit_target
TSLA,2024-05-22,2024-05-23,1,180.11,176.51,-2.0,-2000.0,stop_loss
AVGO,2024-05-23,2024-05-30,7,136.32,133.6,-2.0,-2000.0,stop_loss
AAPL,2024-05-24,2024-06-11,18,188.35,197.77,5.0,5000.0,profit_target
GOOGL,2024-05-24,2024-05-31,7,173.45,169.98,-2.0,-2000.0,stop_loss
NFLX,2024-05-24,2024-05-31,7,64.68,63.38,-2.0,-2000.0,stop_loss
NVDA,2024-05-24,2024-05-28,4,106.41,111.73,5.0,5000.0,profit_target
COST,2024-05-28,2024-05-31,3,804.46,788.37,-2.0,-2000.0,stop_loss
UNH,2024-05-28,2024-05-29,1,479.42,469.83,-2.0,-2000.0,stop_loss
NVDA,2024-05-29,2024-05-30,1,114.76,112.47,-2.0,-2000.0,stop_loss
TSLA,2024-05-29,2024-06-05,7,176.19,172.67,-2.0,-2000.0,stop_loss
BAC,2024-05-31,2024-06-11,11,38.17,37.4,-2.0,-2000.0,stop_loss
GS,2024-05-31,2024-06-11,11,440.25,431.44,-2.0,-2000.0,stop_loss
NVDA,2024-05-31,2024-06-04,4,109.57,115.05,5.0,5000.0,profit_target
XOM,2024-05-31,2024-06-03,3,109.81,107.61,-2.0,-2000.0,stop_loss
COST,2024-06-03,2024-06-14,11,806.66,846.99,5.0,5000.0,profit_target
GOOGL,2024-06-03,2024-06-25,22,171.65,180.23,5.0,5000.0,profit_target
NFLX,2024-06-03,2024-06-14,11,63.38,66.55,5.0,5000.0,profit_target
MSFT,2024-06-04,2024-06-12,8,409.63,430.11,5.0,5000.0,profit_target
META,2024-06-05,2024-06-27,22,491.27,515.83,5.0,5000.0,profit_target
NVDA,2024-06-05,2024-06-06,1,122.37,119.92,-2.0,-2000.0,stop_loss
ORCL,2024-06-05,2024-06-12,7,120.07,126.07,5.0,5000.0,profit_target
AMZN,2024-06-06,2024-06-17,11,185.0,181.3,-2.0,-2000.0,stop_loss
TSLA,2024-06-06,2024-06-10,4,177.94,174.38,-2.0,-2000.0,stop_loss
AVGO,2024-06-07,2024-06-12,5,137.63,144.51,5.0,5000.0,profit_target
LLY,2024-06-07,2024-06-18,11,838.28,880.2,5.0,5000.0,profit_target
NVDA,2024-06-07,2024-06-10,3,120.82,118.4,-2.0,-2000.0,stop_loss
WMT,2024-06-07,2024-07-05,28,64.67,67.9,5.0,5000.0,profit_target
JPM,2024-06-10,2024-06-11,1,190.51,186.7,-2.0,-2000.0,stop_loss
NVDA,2024-06-11,2024-06-13,2,120.85,126.89,5.0,5000.0,profit_target
AAPL,2024-06-12,2024-06-21,9,211.24,207.02,-2.0,-2000.0,stop_loss
HD,2024-06-12,2024-06-25,13,329.79,323.19,-2.0,-2000.0,stop_loss
AVGO,2024-06-13,2024-06-17,4,164.28,172.49,5.0,5000.0,profit_target
BAC,2024-06-13,2024-06-26,13,37.7,36.94,-2.0,-2000.0,stop_loss
MSFT,2024-06-13,2024-07-05,22,434.75,456.48,5.0,5000.0,profit_target
